,nombre,sim_config,avg,prod,expected_volume,nominal_diff,relative_diff,tipo_agricultor,tipo_feriante,tipo_consumidor,abs_error,abs_percentage_error
372,Pepino ensalada,sim_config_7.json,54987.0,Pepino ensalada,698600.0,-643613.0,-0.9212897223017463,simple,seasonal-proportional,single,643613.0,0.9212897223017463
373,Poroto granado,sim_config_7.json,89324.40000000001,Poroto granado,795361.5384615385,-706037.1384615385,-0.8876933373308703,simple,seasonal-proportional,single,706037.1384615385,0.8876933373308703
374,Poroto verde,sim_config_7.json,1842478.366666667,Poroto verde,145250.0,1697228.366666667,11.684876878944351,simple,seasonal-proportional,single,1697228.366666667,11.684876878944351
375,Repollo,sim_config_7.json,205697.25,Repollo,10900.0,194797.25,17.87130733944954,simple,seasonal-proportional,single,194797.25,17.87130733944954
376,Sandia,sim_config_7.json,1321572.5,Sandia,85578.46153846153,1235994.0384615385,14.442816758350412,simple,seasonal-proportional,single,1235994.0384615385,14.442816758350412
377,Tomate,sim_config_7.json,5808960.0,Tomate,4598640.0,1210320.0,0.2631908564271176,simple,seasonal-proportional,single,1210320.0,0.2631908564271176
378,Zanahoria,sim_config_7.json,1282266.6500000001,Zanahoria,3576960.0,-2294693.3499999996,-0.6415205509706565,simple,seasonal-proportional,single,2294693.3499999996,0.6415205509706565
379,Zapallo italiano,sim_config_7.json,5993094.0,Zapallo italiano,2927400.0,3065694.0,1.047241237958598,simple,seasonal-proportional,single,3065694.0,1.047241237958598
380,Ajo,sim_config_8.json,3051222.0,Ajo,2220500.0,830722.0,0.3741148390002252,simple,seasonal-proportional,family,830722.0,0.3741148390002252
381,Alcachofa,sim_config_8.json,5155390.0,Alcachofa,196915.38461538462,4958474.615384615,25.180737528809715,simple,seasonal-proportional,family,4958474.615384615,25.180737528809715
382,Apio,sim_config_8.json,2066491.7999999998,Apio,450000.0,1616491.7999999998,3.5922039999999997,simple,seasonal-proportional,family,1616491.7999999998,3.5922039999999997
383,Arveja Verde,sim_config_8.json,604256.625,Arveja Verde,116750.0,487506.625,4.175645610278373,simple,seasonal-proportional,family,487506.625,4.175645610278373
384,Brócoli,sim_config_8.json,11967702.5,Brócoli,4899440.0,7068262.5,1.4426674272978137,simple,seasonal-proportional,family,7068262.5,1.4426674272978137
385,Choclo,sim_config_8.json,1957395.8333333333,Choclo,17291000.0,-15333604.166666666,-0.8867968403601102,simple,seasonal-proportional,family,15333604.166666666,0.8867968403601102
386,Coliflor,sim_config_8.json,1783315.8333333333,Coliflor,4880610.0,-3097294.166666667,-0.6346121010829932,simple,seasonal-proportional,family,3097294.166666667,0.6346121010829932
387,Espinaca,sim_config_8.json,854097.85,Espinaca,1166600.0,-312502.15,-0.2678742928167324,simple,seasonal-proportional,family,312502.15,0.2678742928167324
388,Frutilla,sim_config_8.json,7421933.75,Frutilla,1703043.0,5718890.75,3.35804248630246,simple,seasonal-proportional,family,5718890.75,3.35804248630246
389,Haba,sim_config_8.json,100701.5,Haba,1008923.0769230769,-908221.5769230769,-0.9001891201585849,simple,seasonal-proportional,family,908221.5769230769,0.9001891201585849
390,Lechuga,sim_config_8.json,36084.799999999996,Lechuga,1009980.0,-973895.2,-0.9642717677577773,simple,seasonal-proportional,family,973895.2,0.9642717677577773
391,Melón,sim_config_8.json,1450933.3333333333,Melón,118738.46153846153,1332194.8717948718,11.219573291871814,simple,seasonal-proportional,family,1332194.8717948718,11.219573291871814
392,Pepino ensalada,sim_config_8.json,55501.0,Pepino ensalada,698600.0,-643099.0,-0.9205539650730031,simple,seasonal-proportional,family,643099.0,0.9205539650730031
393,Poroto granado,sim_config_8.json,89304.04999999999,Poroto granado,795361.5384615385,-706057.4884615385,-0.8877189231795893,simple,seasonal-proportional,family,706057.4884615385,0.8877189231795893
394,Poroto verde,sim_config_8.json,1842297.5999999999,Poroto verde,145250.0,1697047.5999999999,11.683632358003441,simple,seasonal-proportional,family,1697047.5999999999,11.683632358003441
395,Repollo,sim_config_8.json,205605.19999999998,Repollo,10900.0,194705.19999999998,17.8628623853211,simple,seasonal-proportional,family,194705.19999999998,17.8628623853211
396,Sandia,sim_config_8.json,1321010.8333333333,Sandia,85578.46153846153,1235432.3717948718,14.436253580459978,simple,seasonal-proportional,family,1235432.3717948718,14.436253580459978
397,Tomate,sim_config_8.json,5788815.0,Tomate,4598640.0,1190175.0,0.25881021345441263,simple,seasonal-proportional,family,1190175.0,0.25881021345441263
398,Zanahoria,sim_config_8.json,1281351.1999999997,Zanahoria,3576960.0,-2295608.8000000003,-0.6417764805868671,simple,seasonal-proportional,family,2295608.8000000003,0.6417764805868671
399,Zapallo italiano,sim_config_8.json,5997144.0,Zapallo italiano,2927400.0,3069744.0,1.0486247181799548,simple,seasonal-proportional,family,3069744.0,1.0486247181799548
400,Ajo,sim_config_9.json,3054459.0,Ajo,2220500.0,833959.0,0.37557261877955417,simple,seasonal-proportional,family_budget,833959.0,0.37557261877955417
401,Alcachofa,sim_config_9.json,5992855.0,Alcachofa,196915.38461538462,5795939.615384615,29.433655611547323,simple,seasonal-proportional,family_budget,5795939.615384615,29.433655611547323
402,Apio,sim_config_9.json,2066862.5999999999,Apio,450000.0,1616862.5999999999,3.593028,simple,seasonal-proportional,family_budget,1616862.5999999999,3.593028
403,Arveja Verde,sim_config_9.json,604261.0,Arveja Verde,116750.0,487511.0,4.175683083511777,simple,seasonal-proportional,family_budget,487511.0,4.175683083511777
404,Brócoli,sim_config_9.json,11967390.0,Brócoli,4899440.0,7067950.0,1.4426036444981467,simple,seasonal-proportional,family_budget,7067950.0,1.4426036444981467
405,Choclo,sim_config_9.json,1955945.8333333333,Choclo,17291000.0,-15335054.166666666,-0.8868806990149017,simple,seasonal-proportional,family_budget,15335054.166666666,0.8868806990149017
406,Coliflor,sim_config_9.json,1782657.5,Coliflor,4880610.0,-3097952.5,-0.6347469885936389,simple,seasonal-proportional,family_budget,3097952.5,0.6347469885936389
407,Espinaca,sim_config_9.json,855572.6,Espinaca,1166600.0,-311027.4,-0.2666101491513801,simple,seasonal-proportional,family_budget,311027.4,0.2666101491513801
408,Frutilla,sim_config_9.json,7391597.5,Frutilla,1703043.0,5688554.5,3.3402295185735182,simple,seasonal-proportional,family_budget,5688554.5,3.3402295185735182
409,Haba,sim_config_9.json,100816.16666666667,Haba,1008923.0769230769,-908106.9102564103,-0.9000754676222426,simple,seasonal-proportional,family_budget,908106.9102564103,0.9000754676222426
410,Lechuga,sim_config_9.json,36187.2,Lechuga,1009980.0,-973792.8,-0.9641703796114774,simple,seasonal-proportional,family_budget,973792.8,0.9641703796114774
411,Melón,sim_config_9.json,1442966.6666666667,Melón,118738.46153846153,1324228.2051282052,11.152479053295329,simple,seasonal-proportional,family_budget,1324228.2051282052,11.152479053295329
412,Pepino ensalada,sim_config_9.json,55215.0,Pepino ensalada,698600.0,-643385.0,-0.9209633552819926,simple,seasonal-proportional,family_budget,643385.0,0.9209633552819926
413,Poroto granado,sim_config_9.json,89562.0,Poroto granado,795361.5384615385,-705799.5384615385,-0.8873946052593402,simple,seasonal-proportional,family_budget,705799.5384615385,0.8873946052593402
414,Poroto verde,sim_config_9.json,1842146.1666666667,Poroto verde,145250.0,1696896.1666666667,11.682589787722318,simple,seasonal-proportional,family_budget,1696896.1666666667,11.682589787722318
415,Repollo,sim_config_9.json,205525.25000000003,Repollo,10900.0,194625.25000000003,17.855527522935784,simple,seasonal-proportional,family_budget,194625.25000000003,17.855527522935784
416,Sandia,sim_config_9.json,1321650.8333333333,Sandia,85578.46153846153,1236072.3717948718,14.443732097700117,simple,seasonal-proportional,family_budget,1236072.3717948718,14.443732097700117
417,Tomate,sim_config_9.json,5796495.0,Tomate,4598640.0,1197855.0,0.26048027242837013,simple,seasonal-proportional,family_budget,1197855.0,0.26048027242837013
418,Zanahoria,sim_config_9.json,1281165.8999999997,Zanahoria,3576960.0,-2295794.1000000006,-0.641828284353194,simple,seasonal-proportional,family_budget,2295794.1000000006,0.641828284353194
419,Zapallo italiano,sim_config_9.json,5995411.5,Zapallo italiano,2927400.0,3068011.5,1.0480328960852634,simple,seasonal-proportional,family_budget,3068011.5,1.0480328960852634
420,Ajo,sim_config_files/sim_config_20.json,0.0,Ajo,2220500.0,-2220500.0,-1.0,risk,seasonal-proportional,family,2220500.0,1.0
421,Alcachofa,sim_config_files/sim_config_20.json,0.0,Alcachofa,196915.38461538462,-196915.38461538462,-1.0,risk,seasonal-proportional,family,196915.38461538462,1.0
422,Apio,sim_config_files/sim_config_20.json,0.0,Apio,450000.0,-450000.0,-1.0,risk,seasonal-proportional,family,450000.0,1.0
423,Arveja Verde,sim_config_files/sim_config_20.json,0.0,Arveja Verde,116750.0,-116750.0,-1.0,risk,seasonal-proportional,family,116750.0,1.0
424,Brócoli,sim_config_files/sim_config_20.json,0.0,Brócoli,4899440.0,-4899440.0,-1.0,risk,seasonal-proportional,family,4899440.0,1.0
425,Choclo,sim_config_files/sim_config_20.json,0.0,Choclo,17291000.0,-17291000.0,-1.0,risk,seasonal-proportional,family,17291000.0,1.0
426,Coliflor,sim_config_files/sim_config_20.json,0.0,Coliflor,4880610.0,-4880610.0,-1.0,risk,seasonal-proportional,family,4880610.0,1.0
427,Espinaca,sim_config_files/sim_config_20.json,0.0,Espinaca,1166600.0,-1166600.0,-1.0,risk,seasonal-proportional,family,1166600.0,1.0
428,Frutilla,sim_config_files/sim_config_20.json,0.0,Frutilla,1703043.0,-1703043.0,-1.0,risk,seasonal-proportional,family,1703043.0,1.0
429,Haba,sim_config_files/sim_config_20.json,0.0,Haba,1008923.0769230769,-1008923.0769230769,-1.0,risk,seasonal-proportional,family,1008923.0769230769,1.0
430,Lechuga,sim_config_files/sim_config_20.json,0.0,Lechuga,1009980.0,-1009980.0,-1.0,risk,seasonal-proportional,family,1009980.0,1.0
431,Melón,sim_config_files/sim_config_20.json,0.0,Melón,118738.46153846153,-118738.46153846153,-1.0,risk,seasonal-proportional,family,118738.46153846153,1.0
432,Pepino ensalada,sim_config_files/sim_config_20.json,0.0,Pepino ensalada,698600.0,-698600.0,-1.0,risk,seasonal-proportional,family,698600.0,1.0
433,Poroto granado,sim_config_files/sim_config_20.json,0.0,Poroto granado,795361.5384615385,-795361.5384615385,-1.0,risk,seasonal-proportional,family,795361.5384615385,1.0
434,Poroto verde,sim_config_files/sim_config_20.json,0.0,Poroto verde,145250.0,-145250.0,-1.0,risk,seasonal-proportional,family,145250.0,1.0
435,Repollo,sim_config_files/sim_config_20.json,0.0,Repollo,10900.0,-10900.0,-1.0,risk,seasonal-proportional,family,10900.0,1.0
436,Sandia,sim_config_files/sim_config_20.json,0.0,Sandia,85578.46153846153,-85578.46153846153,-1.0,risk,seasonal-proportional,family,85578.46153846153,1.0
437,Tomate,sim_config_files/sim_config_20.json,0.0,Tomate,4598640.0,-4598640.0,-1.0,risk,seasonal-proportional,family,4598640.0,1.0
438,Zanahoria,sim_config_files/sim_config_20.json,0.0,Zanahoria,3576960.0,-3576960.0,-1.0,risk,seasonal-proportional,family,3576960.0,1.0
439,Zapallo italiano,sim_config_files/sim_config_20.json,0.0,Zapallo italiano,2927400.0,-2927400.0,-1.0,risk,seasonal-proportional,family,2927400.0,1.0
