"temperature","Date"
14.5,"23-06-2020"
9.1,"24-06-2020"
11.4,"25-06-2020"
14.5,"26-06-2020"
14,"27-06-2020"
14,"28-06-2020"
10.4,"29-06-2020"
14.4,"30-06-2020"
16.8,"01-07-2020"
15,"02-07-2020"
18.3,"03-07-2020"
10,"04-07-2020"
14.2,"05-07-2020"
11.6,"06-07-2020"
13.4,"07-07-2020"
14.4,"08-07-2020"
16.5,"09-07-2020"
15.8,"10-07-2020"
11.5,"11-07-2020"
17.9,"12-07-2020"
21.3,"13-07-2020"
23.9,"14-07-2020"
22.1,"15-07-2020"
10.2,"16-07-2020"
15,"17-07-2020"
15,"18-07-2020"
18.6,"19-07-2020"
18.6,"20-07-2020"
11.3,"21-07-2020"
14.7,"22-07-2020"
13.5,"23-07-2020"
15.5,"24-07-2020"
10.5,"25-07-2020"
13.6,"26-07-2020"
14.5,"27-07-2020"
17.1,"28-07-2020"
21.8,"29-07-2020"
12.5,"30-07-2020"
18.9,"31-07-2020"
15.9,"01-08-2020"
21.2,"02-08-2020"
19.6,"03-08-2020"
24.5,"04-08-2020"
13.6,"05-08-2020"
16.5,"06-08-2020"
18.6,"07-08-2020"
22.1,"08-08-2020"
17.5,"09-08-2020"
14.6,"10-08-2020"
15.4,"11-08-2020"
15.3,"12-08-2020"
16.9,"13-08-2020"
15.5,"14-08-2020"
16.4,"15-08-2020"
16.6,"16-08-2020"
17.9,"17-08-2020"
12.5,"18-08-2020"
16,"19-08-2020"
21.9,"20-08-2020"
25.5,"21-08-2020"
24.4,"22-08-2020"
17.4,"23-08-2020"
19.5,"24-08-2020"
16.5,"25-08-2020"
17,"26-08-2020"
16,"27-08-2020"
13.6,"28-08-2020"
17.7,"29-08-2020"
17.7,"30-08-2020"
17.1,"31-08-2020"
11.9,"01-09-2020"
18.5,"02-09-2020"
19.3,"03-09-2020"
20.3,"04-09-2020"
17.8,"05-09-2020"
22.1,"06-09-2020"
20.6,"07-09-2020"
12.7,"08-09-2020"
22,"09-09-2020"
20.9,"10-09-2020"
21.1,"11-09-2020"
20.5,"12-09-2020"
21.8,"13-09-2020"
25.6,"14-09-2020"
18,"15-09-2020"
22.8,"16-09-2020"
26.7,"17-09-2020"
24.8,"18-09-2020"
26.3,"19-09-2020"
26.1,"20-09-2020"
25.1,"21-09-2020"
26.6,"22-09-2020"
26.8,"23-09-2020"
26.2,"24-09-2020"
12,"25-09-2020"
19,"26-09-2020"
22.8,"27-09-2020"
24,"28-09-2020"
18.7,"29-09-2020"
16.4,"30-09-2020"
19.2,"01-10-2020"
20,"02-10-2020"
19.2,"03-10-2020"
19.7,"04-10-2020"
22.9,"05-10-2020"
22.6,"06-10-2020"
24,"07-10-2020"
25,"08-10-2020"
28.5,"09-10-2020"
25.3,"10-10-2020"
29.5,"11-10-2020"
30.1,"12-10-2020"
27.7,"13-10-2020"
21.4,"14-10-2020"
29.4,"15-10-2020"
20.6,"16-10-2020"
