cooling_rate,init_temp,restart_threshold,avg_score,std_score,avg_iterations,avg_iter_90pct,avg_execution_time,avg_mean_cv,avg_size_imbalance
0.8,10,100,10.68281236530515,2.9724135207732003e-15,42.0,3.0,0.09409494400024414,0.5644795018602642,0.24
0.8,10,500,10.68281236530515,1.3759600911837627e-15,42.0,5.6,0.10439438819885254,0.6811459153532556,0.15
0.8,10,1000,10.68281236530515,2.6347629809804343e-15,42.0,7.2,0.10477190017700196,0.6294282078628517,0.18
0.8,10,2000,10.662812365305149,0.040000000000001104,42.0,8.0,0.09545998573303223,0.5894335865186525,0.27
0.8,100,100,10.682812365305148,2.6347629809804343e-15,52.0,9.6,0.1185544490814209,0.5032012482869227,0.19
0.8,100,500,10.68281236530515,2.6347629809804343e-15,52.0,4.8,0.11994462013244629,0.554522241319577,0.19
0.8,100,1000,10.682812365305152,7.944109290391273e-16,52.0,14.4,0.11782979965209961,0.5030611817976535,0.16999999999999998
0.8,100,2000,10.68281236530515,2.5121479338940403e-15,52.0,8.2,0.11762728691101074,0.6791494175815127,0.21000000000000002
0.8,1000,100,10.68281236530515,2.1018137570293106e-15,62.0,2.8,0.13378891944885254,0.6260723734340468,0.22000000000000003
0.8,1000,500,10.60281236530515,0.1599999999999998,62.0,15.8,0.1363750457763672,0.7008058596811424,0.25999999999999995
0.8,1000,1000,10.68281236530515,2.2469334198890887e-15,62.0,11.8,0.13583798408508302,0.615069790422536,0.17
0.8,1000,2000,10.68281236530515,3.2754401705733782e-15,62.0,18.0,0.14362874031066894,0.5882690378970311,0.19
0.8,5000,100,10.682812365305152,2.383232787117382e-15,70.0,9.4,0.14857792854309082,0.6742733870540498,0.27
0.8,5000,500,10.562812365305152,0.24000000000000127,70.0,30.0,0.14446578025817872,0.7130481117905565,0.3
0.8,5000,1000,10.682812365305148,2.6347629809804343e-15,70.0,11.0,0.14942870140075684,0.5721005282145764,0.25
0.8,5000,2000,10.68281236530515,2.6347629809804343e-15,70.0,6.6,0.15402398109436036,0.5378633349360571,0.36
0.9,10,100,10.682812365305152,0.0,88.0,43.4,0.19074563980102538,0.6531700261769913,0.19
